Productname,ProductID,Category,Revenue,ROI,NetProfitMargin,Cluster
Patch Kit/8 Patches,873,Accessories,1.374,0.335668,37.663755,0
Water Bottle - 30 oz.,870,Accessories,14.97,1.198896,37.665331,0
Hitch Rack - 4-Bike,876,Accessories,216.0,0.0,37.666667,0
"Sport-100 Helmet, Black",708,Accessories,209.94,1.865041,37.666476,0
"Sport-100 Helmet, Blue",711,Accessories,167.952,2.238049,37.666476,0
"Sport-100 Helmet, Red",707,Accessories,146.958,1.46872,37.666476,0
Hitch Rack - 4-Bike,876,Accessories,432.0,0.0,37.666667,1
"Sport-100 Helmet, Black",708,Accessories,20.1865,0.167459,35.173012,0
"Sport-100 Helmet, Blue",711,Accessories,121.119,1.507132,35.173012,0
"Sport-100 Helmet, Blue",711,Accessories,60.5595,0.753566,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,20.1865,0.188391,35.173012,0
"Sport-100 Helmet, Black",708,Accessories,80.746,0.669836,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,40.373,0.376783,35.173012,0
"Sport-100 Helmet, Blue",711,Accessories,40.373,0.502377,35.173012,0
Minipump,844,Accessories,83.958,1.104787,31.249792,0
"Sport-100 Helmet, Blue",711,Accessories,60.5595,0.753566,35.173012,0
"Sport-100 Helmet, Black",708,Accessories,40.373,0.334918,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,100.9325,0.941957,35.173012,0
Water Bottle - 30 oz.,870,Accessories,20.958,1.678455,37.665331,0
Hydration Pack - 70 oz.,880,Accessories,414.6246,6.629989,35.517116,1
Bike Wash - Dissolver,877,Accessories,33.39,11.749851,37.666667,2
"Sport-100 Helmet, Red",707,Accessories,125.964,1.258902,37.666476,0
"Sport-100 Helmet, Black",708,Accessories,146.958,1.305528,37.666476,0
Hydration Pack - 70 oz.,880,Accessories,263.952,4.476111,37.666545,0
"Sport-100 Helmet, Blue",711,Accessories,125.964,1.678537,37.666476,0
Bike Wash - Dissolver,877,Accessories,33.39,11.749851,37.666667,2
Water Bottle - 30 oz.,870,Accessories,17.964,1.438675,37.665331,0
Hitch Rack - 4-Bike,876,Accessories,576.0,0.0,37.666667,1
"Sport-100 Helmet, Blue",711,Accessories,60.5595,0.753566,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,80.746,0.753566,35.173012,0
"Sport-100 Helmet, Black",708,Accessories,40.373,0.334918,35.173012,0
"Sport-100 Helmet, Blue",711,Accessories,41.988,0.559512,37.666476,0
Bike Wash - Dissolver,877,Accessories,33.39,11.749851,37.666667,2
Hitch Rack - 4-Bike,876,Accessories,576.0,0.0,37.666667,1
"Sport-100 Helmet, Black",708,Accessories,209.94,1.865041,37.666476,0
Water Bottle - 30 oz.,870,Accessories,23.952,1.918234,37.665331,0
Water Bottle - 30 oz.,870,Accessories,14.97,1.198896,37.665331,0
Hydration Pack - 70 oz.,880,Accessories,32.994,0.559514,37.666545,0
"Sport-100 Helmet, Blue",711,Accessories,62.982,0.839268,37.666476,0
Bike Wash - Dissolver,877,Accessories,33.39,11.749851,37.666667,2
"Sport-100 Helmet, Red",707,Accessories,41.988,0.419634,37.666476,0
"Sport-100 Helmet, Black",708,Accessories,83.976,0.746016,37.666476,0
Cable Lock,843,Accessories,60.0,0.721501,31.25,0
"Sport-100 Helmet, Black",708,Accessories,100.9325,0.837295,35.173012,0
"Sport-100 Helmet, Blue",711,Accessories,100.9325,1.255943,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,80.746,0.753566,35.173012,0
Minipump,844,Accessories,35.982,0.47348,31.249792,0
Cable Lock,843,Accessories,75.0,0.901876,31.25,0
"Sport-100 Helmet, Blue",711,Accessories,62.982,0.839268,37.666476,0
"Sport-100 Helmet, Blue",711,Accessories,67.2884,0.528656,22.207691,0
Cable Lock,843,Accessories,90.0,1.082251,31.25,0
"Sport-100 Helmet, Black",708,Accessories,84.1105,0.440546,22.207691,0
"Sport-100 Helmet, Red",707,Accessories,67.2884,0.396492,22.207691,0
Minipump,844,Accessories,47.976,0.631307,31.249792,0
Hydration Pack - 70 oz.,880,Accessories,98.982,1.678542,37.666545,0
Water Bottle - 30 oz.,870,Accessories,11.976,0.959117,37.665331,0
"Sport-100 Helmet, Blue",711,Accessories,146.958,1.958293,37.666476,0
Bike Wash - Dissolver,877,Accessories,28.62,10.071301,37.666667,2
"Sport-100 Helmet, Red",707,Accessories,125.964,1.258902,37.666476,0
Minipump,844,Accessories,23.988,0.315654,31.249792,0
Cable Lock,843,Accessories,45.0,0.541126,31.25,0
"Sport-100 Helmet, Blue",711,Accessories,80.746,1.004754,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,40.373,0.376783,35.173012,0
"Sport-100 Helmet, Black",708,Accessories,121.119,1.004754,35.173012,0
Hitch Rack - 4-Bike,876,Accessories,144.0,0.0,37.666667,0
"Sport-100 Helmet, Black",708,Accessories,125.964,1.119024,37.666476,0
"Sport-100 Helmet, Blue",711,Accessories,40.373,0.502377,35.173012,0
Minipump,844,Accessories,35.982,0.47348,31.249792,0
"Sport-100 Helmet, Black",708,Accessories,40.373,0.334918,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,80.746,0.753566,35.173012,0
Cable Lock,843,Accessories,45.0,0.541126,31.25,0
Water Bottle - 30 oz.,870,Accessories,8.982,0.719338,37.665331,0
Hitch Rack - 4-Bike,876,Accessories,360.0,0.0,37.666667,1
Hydration Pack - 70 oz.,880,Accessories,164.97,2.797569,37.666545,0
"Sport-100 Helmet, Blue",711,Accessories,62.982,0.839268,37.666476,0
Bike Wash - Dissolver,877,Accessories,4.77,1.67855,37.666667,0
"Sport-100 Helmet, Red",707,Accessories,288.6675,2.450957,31.999792,0
"Sport-100 Helmet, Black",708,Accessories,167.952,1.492033,37.666476,0
"Sport-100 Helmet, Red",707,Accessories,83.976,0.839268,37.666476,0
Hydration Pack - 70 oz.,880,Accessories,296.946,5.035625,37.666545,0
"Sport-100 Helmet, Blue",711,Accessories,62.982,0.839268,37.666476,0
Hitch Rack - 4-Bike,876,Accessories,904.8,0.0,35.517241,1
"Sport-100 Helmet, Black",708,Accessories,209.94,1.865041,37.666476,0
Water Bottle - 30 oz.,870,Accessories,17.964,1.438675,37.665331,0
Patch Kit/8 Patches,873,Accessories,2.748,0.671337,37.663755,0
Bike Wash - Dissolver,877,Accessories,38.16,13.428402,37.666667,2
"Sport-100 Helmet, Black",708,Accessories,141.3055,1.172214,35.173012,0
Minipump,844,Accessories,35.982,0.47348,31.249792,0
"Sport-100 Helmet, Blue",711,Accessories,60.5595,0.753566,35.173012,0
Cable Lock,843,Accessories,30.0,0.36075,31.25,0
"Sport-100 Helmet, Red",707,Accessories,80.746,0.753566,35.173012,0
Minipump,844,Accessories,47.976,0.631307,31.249792,0
"Sport-100 Helmet, Blue",711,Accessories,80.746,1.004754,35.173012,0
"Sport-100 Helmet, Black",708,Accessories,161.492,1.339673,35.173012,0
"Sport-100 Helmet, Red",707,Accessories,60.5595,0.565174,35.173012,0
Hitch Rack - 4-Bike,876,Accessories,288.0,0.0,37.666667,0
Patch Kit/8 Patches,873,Accessories,2.748,0.671337,37.663755,0
Bike Wash - Dissolver,877,Accessories,38.16,13.428402,37.666667,2
Water Bottle - 30 oz.,870,Accessories,26.946,2.158013,37.665331,0
Patch Kit/8 Patches,873,Accessories,1.374,0.335668,37.663755,0
Bike Wash - Dissolver,877,Accessories,4.77,1.67855,37.666667,0
Water Bottle - 30 oz.,870,Accessories,17.964,1.438675,37.665331,0
Minipump,844,Accessories,71.964,0.946961,31.249792,0
"Sport-100 Helmet, Black",708,Accessories,40.373,0.334918,35.173012,0
"Sport-100 Helmet, Blue",711,Accessories,121.119,1.507132,35.173012,0
