Productname,ProductID,Category,Revenue,ROI,NetProfitMargin,Cluster
"LL Touring Frame - Blue, 54",896,Components,200.052,0.0,0.100024,2
HL Bottom Bracket,996,Components,72.894,0.109455,25.999945,0
HL Bottom Bracket,996,Components,72.894,0.073968,25.999945,0
HL Bottom Bracket,996,Components,72.894,0.201925,25.999945,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Chain,952,Components,12.144,0.148875,25.999671,0
Chain,952,Components,12.144,0.182992,25.999671,0
Chain,952,Components,12.144,0.218227,25.999671,0
Front Derailleur,945,Components,164.682,0.303761,25.999927,0
Front Derailleur,945,Components,164.682,0.446631,25.999927,0
Front Derailleur,945,Components,164.682,0.390389,25.999927,0
HL Crankset,951,Components,242.994,0.126385,25.999984,0
HL Crankset,951,Components,242.994,0.100963,25.999984,0
HL Crankset,951,Components,242.994,0.1183,25.999984,0
Front Brakes,948,Components,63.9,0.101254,26.0,0
Front Brakes,948,Components,63.9,0.083655,26.0,0
Front Brakes,948,Components,63.9,0.101254,26.0,0
Front Brakes,948,Components,63.9,0.083655,26.0,0
Front Brakes,948,Components,63.9,0.101254,26.0,0
Front Brakes,948,Components,63.9,0.083655,26.0,0
Front Brakes,948,Components,63.9,0.101254,26.0,0
Front Brakes,948,Components,63.9,0.083655,26.0,0
Front Brakes,948,Components,63.9,0.101254,26.0,0
Front Brakes,948,Components,63.9,0.083655,26.0,0
Front Brakes,948,Components,63.9,0.101254,26.0,0
Front Brakes,948,Components,63.9,0.083655,26.0,0
